Year  Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct   Nov   Dec
1993 -0.28  0.02  0.24  1.00  1.79  2.05  1.48  1.96  1.15  1.31  1.13  0.67
1994  0.85  0.33  0.27  0.49  0.55  0.10 -0.91 -0.88 -1.51 -1.06 -1.93 -2.22
1995 -0.86  0.02  0.46  0.49  0.89  1.03  1.00 -0.11  1.22  0.64  0.05  0.44
1996  1.01  1.01  0.85  1.37  2.13  1.10  0.57 -0.66  0.07  0.40  0.38 -0.03
1997  0.44  0.29  0.39  0.73  1.59  2.55  1.49  2.27  1.80  1.78  1.48  0.99
1998  1.05  1.52  1.29  0.03 -0.83 -0.78 -1.16 -0.87 -1.70 -2.23 -0.97 -1.09
1999 -0.78 -1.06 -1.18 -1.85 -2.32 -2.34 -1.87 -1.84 -2.24 -2.54 -2.18 -1.92
2000 -2.20 -1.28 -0.66 -0.63 -0.81 -0.64 -1.51 -1.68 -1.45 -1.61 -1.04  0.00
2001  0.48 -0.01 -0.41 -1.18 -1.12 -1.22 -2.21 -1.68 -1.98 -1.91 -1.25 -1.12
2002 -0.42 -1.51 -1.27 -1.23 -1.30 -1.18 -0.71  0.11 -0.21 -0.20  1.08  1.57
2003  1.45  1.23  1.01  0.36  0.21 -0.42  0.37  0.63 -0.17  0.74 -0.23 -0.60
2004 -0.55 -0.21 -0.15 -0.00  0.61 -0.11  0.04  0.24  0.02 -0.72 -1.22 -0.64
2005 -0.15 -0.01  0.70  0.28  1.36  0.85  0.11 -0.42 -0.99 -2.00 -1.89 -0.10
2006  0.54  0.38 -0.74 -0.54 -0.37  0.21  0.39 -0.85 -1.54 -0.46 -0.81 -0.42
2007 -0.69 -0.71 -1.10 -0.46 -0.29 -0.07  0.43  0.09 -0.97 -2.33 -1.46 -0.87
2008 -1.50 -1.46 -1.26 -1.79 -1.62 -1.85 -1.96 -1.85 -1.87 -1.90 -1.59 -1.31
2009 -1.81 -1.78 -2.06 -2.23 -1.32 -0.73 -0.71 -0.49  0.33 -0.13 -0.94 -0.51
2010  0.05  0.25 -0.16 -0.04 -0.18 -0.79 -1.99 -2.21 -2.45 -1.60 -1.57 -2.04
2011 -1.80 -1.46 -1.28 -1.02 -0.66 -1.08 -2.30 -2.37 -2.50 -1.92 -2.95 -2.40
2012 -1.85 -1.35 -1.66 -1.01 -2.12 -1.63 -2.40 -2.60 -2.99 -1.22 -0.66 -1.31
2013 -1.10 -1.42 -1.48 -0.72 -0.40 -1.19 -1.34 -1.56 -1.00 -1.65 -1.09 -1.04
2014 -0.57 -0.42  0.30  0.36  1.27 -0.28  0.25  0.34  0.76  1.43  1.35  1.86
2015  1.51  1.52  1.33  0.90  0.32  0.82  1.41  0.98  0.97  0.84  0.17  0.28
2016  0.75  1.29  1.56  1.74  1.60  0.86  0.57 -0.63 -0.80 -0.43  0.96  0.61
2017 -0.05 -0.01  0.10  0.56  0.45  0.35 -0.43 -0.62 -0.18 -0.68 -0.59 -0.02
2018  0.39 -0.08 -0.71 -0.81 -0.45 -0.65 -0.01 -0.24 -0.35 -0.57 -0.69 -0.21
2019 -0.34 -0.72 -0.39  0.10  0.26 -0.05  0.54  0.01  0.13 -0.90 -0.49  0.00
2020 -1.41 -1.48 -1.75 -1.32 -0.53 -0.76 -0.92 -1.33 -1.04 -0.62 -1.59 -0.99
2021 -0.61 -1.10 -1.68 -1.85 -2.01 -1.81 -1.96 -0.94 -1.96 -3.11 -2.75 -2.71
2022 -2.40 -1.91 -1.67 -2.10 -2.25 -1.34 -2.62 -2.38 -2.29 -1.80 -2.41 -2.21
2023 -1.25 -1.65 -2.45 -3.07 -2.41 -2.53 -2.52 -2.46 -2.94
